Species	SMPL_A12_3	SMPL_A13_3	SMPL_A14_3	SMPL_A15_3	SMPL_A16_3	SMPL_A17_2	SMPL_A18_2	SMPL_A19_2	SMPL_A20_4	SMPL_A21_2	SMPL_A22_2	SMPL_A23_1	SMPL_A24_4	SMPL_A25_2	SMPL_A33_1	SMPL_A36_1	SMPL_A3_2	SMPL_A41_1	SMPL_A42_4	SMPL_A44_1	SMPL_A47_4	SMPL_A48_1	SMPL_A52_3	SMPL_A53_4	SMPL_A54_4	SMPL_A56_3	SMPL_A57_4	SMPL_A58_4	SMPL_A59_4	SMPL_A5_1	SMPL_A7_3	SMPL_A9_2
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Gordonibacter;?	3	0	11	0	3	0	0	4	4	1	0	0	2	0	1	1	0	4	3	0	0	0	0	0	6	0	1	20	0	0	1	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;Senegalimassilia anaerobia JC110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	1	0	23	9	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;?	2690	2326	7430	6331	3258	5499	23211	4949	19242	9976	42	4150	7093	12297	1939	9574	8558	6586	4568	15248	3045	6169	3381	4331	3114	6503	2793	11154	2502	1166	6416	12541
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salanitronis DSM 18170	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. Marseille-P3108	0	8	0	0	0	0	0	1	203	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured organism	3791	16019	2900	21399	17997	1816	4104	1984	193	3745	17635	13143	10508	10396	2301	6256	1398	6851	9932	5873	16875	1777	8697	11169	2463	6837	2211	3070	3164	6127	4958	13204
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;?;gut metagenome	0	78	188	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;?;uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1758	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;?	1951	331	4181	1	1	3	1	1	1	720	1	0	0	5940	3375	1649	1333	2022	620	2	650	3202	420	1134	1414	1037	167	349	151	593	14	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;?	6	10	3	0	0	0	0	0	0	0	0	0	0	0	38	0	54	103	188	0	0	0	0	0	240	594	40	83	92	137	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	8	0	0	14	60	76	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;?	362	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0	0	42	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;Butyricimonas faecihominis	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	89	0	6	160	8	0	0	0	66	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;Butyricimonas sp. AT11	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	28	6	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas;uncultured organism	1	12	0	0	0	0	0	0	0	3	0	0	0	0	32	0	9	0	43	69	0	75	18	0	3	8	0	31	7	0	21	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;?	1460	420	631	924	2	5	0	587	735	287	0	667	1244	851	1746	435	279	1273	661	250	320	1155	369	807	351	636	211	312	869	375	159	1315
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?	0	0	0	0	1	0	0	0	0	0	0	0	0	2	402	0	7471	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;metagenome;?	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured Bacteroidales bacterium;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	818	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;?	0	0	3	0	0	0	0	2	0	0	0	0	0	0	112	1	0	0	0	1	0	1	1	0	8	1	3	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;?	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;?	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	2	0	0	0	1183	2	339	192	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 2;?	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1659	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7;uncultured Bacteroidetes bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	2	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 7;uncultured organism	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;?	3002	850	0	2	1	0	4	0	0	1	2	2	256	0	0	67	0	7	5	0	0	12	3	2	0	0	11189	10	7	4031	4	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;gut metagenome	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;uncultured Wautersiella sp.	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 9;uncultured organism	940	45	0	0	1	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	2366	1	0	99	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;?	0	0	0	0	0	0	0	1	0	0	2	0	3	0	0	2	8	0	0	0	1	0	0	0	19	0	0	0	1	0	2	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella buccalis	1	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;?	870	1895	1316	3093	5	1624	3	705	285	929	1	8	12	1	1002	1782	985	2276	1396	117	657	2574	668	1559	2052	436	795	1390	1545	355	358	64
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Faecalibacterium prausnitzii	0	145	5	134	0	0	0	0	0	0	0	0	0	0	14	35	0	5	0	0	0	83	0	0	110	0	9	1	17	2	64	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;?	691	1753	709	1917	1839	79	0	2167	32	1345	1	1	0	600	1788	838	498	2798	1744	1	2232	1093	614	1067	1225	1395	1376	370	255	1555	532	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured organism	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	3	1	2	0	2	0	0	1	0	1	0	0	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;?;?	0	0	0	0	0	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;?;?;?	0	1	0	0	0	171	5796	17	5	0	1	3080	1	0	409	1190	0	515	0	0	6	538	0	6	65	1	5	72	148	0	467	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;Clostridium sp. CAG:306;?;?	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;gut metagenome;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;uncultured rumen bacterium;?;?	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	39	0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;?;?;?	0	0	0	0	0	96	0	1	0	2	4	1	43	0	0	1	0	0	11	2	0	0	0	0	110	0	3	0	34	0	0	0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	568	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;?	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	15	0	0	0	1	0	0	3	2	1	1	0	0	1	1	1
Bacteria;Firmicutes;Bacilli;Bacillales;Family XI;Gemella;?	0	0	0	0	4	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;?	1	0	0	3	3	0	1	1	0	0	1052	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;?	0	0	0	0	5	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	1	0	0	1	0	1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;?	0	12	2	2	0	0	4	0	0	0	11	4	5	2	1	0	1	0	0	6	3	0	4	2	0	0	0	1	3	1	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;?	1	1	0	7	24	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;?	0	2	0	14	171	28	0	7	0	1	1	3	6	10	0	0	34	0	0	4	1	0	0	15	2	3	0	6	1	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus malefermentans	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;?	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;?	0	13	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;?	0	0	3	1	2	2	0	10	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	0	1	14	0	0	0	3	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;?	2	0	0	0	1	2	0	1	0	1	0	2	3	0	0	0	0	0	1	1	2	0	29	3	1	0	0	4	2	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?	0	0	41	0	0	9	0	6	0	0	0	0	0	0	60	1	0	37	0	18	0	67	1	0	42	0	3	49	2	202	7	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;?;?	19	0	77	0	0	0	0	14	18	0	0	0	11	0	5	7	0	31	0	15	0	9	13	0	23	2	2	15	11	2	9	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenella;Christensenella minuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;?	114	36	1763	0	2	1582	45	1905	34	0	0	1	29	12	322	699	2466	274	108	33	13	1316	517	327	764	5	124	252	1409	252	2702	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;metagenome	21	1	0	0	0	0	0	105	1	0	0	0	0	0	253	56	9	23	9	20	0	11	2	0	49	0	3	7	42	11	8	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;uncultured organism	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;?	0	8	6	2	11	1	67	4	0	0	260	0	12	187	51	5	19	0	1	0	44	738	61	33	6	2	17	0	11	7	15	384
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;uncultured organism	0	1	4	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	8	1	1	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Sarcina;?	0	6	0	0	3	0	0	0	0	0	4	0	0	0	293	0	0	0	0	0	0	1	6	33	0	0	0	1	0	20	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;?;?	5	3	112	1	0	0	0	446	3	0	0	0	26	82	742	60	212	650	0	8	8	138	99	4	627	0	40	61	55	459	113	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured Thermoanaerobacterales bacterium;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	112	0	0	0	5	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured organism;?	0	0	0	0	0	0	0	17	0	0	0	0	0	0	681	3	0	3662	0	0	0	0	0	2	3	0	0	1	1	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured rumen bacterium;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitaleaceae UCG-011;?	4	0	19	0	0	0	0	11	22	0	0	0	68	0	2	4	0	36	8	0	0	0	1	2	9	0	2	8	8	0	14	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;?	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;Anaerofustis sp. Marseille-P2441	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	5	6	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;?	3	0	2	36	1	1	0	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Ezakiella;?	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	4	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Parvimonas;Parvimonas sp. KA00067	0	0	1	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;?;?	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII AD3011 group;?	13	10	17	21	1	40	0	60	34	10	0	0	40	7	5	25	1	30	11	10	5	10	2	2	39	0	15	41	18	5	3	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII AD3011 group;uncultured organism	0	0	31	0	0	0	0	26	14	0	0	0	0	0	0	7	21	10	32	36	1	21	0	0	4	0	15	10	19	11	8	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII UCG-001;?	7	0	8	0	0	0	0	10	3	0	0	0	0	0	2	2	1	10	11	9	1	2	3	1	6	0	12	20	9	3	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;S5-A14a;Clostridiales bacterium S5-A14a	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;S5-A14a;uncultured Anaerovorax sp.	0	0	0	240	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] brachy group;?	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] nodatum group;?	25	0	0	2	0	0	0	1	19	0	0	0	3	0	3	5	0	2	8	6	0	0	1	0	3	0	0	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?;?	751	837	996	190	47	3816	246	603	1137	189	14	673	1310	213	112	305	730	555	658	219	2356	1627	1619	1965	6840	121	482	1486	2386	813	1282	4617
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;?	190	383	226	926	306	1632	1466	422	313	1305	217	409	1577	914	208	800	306	612	727	815	435	584	349	232	604	223	1127	729	887	213	239	669
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;uncultured organism	0	14	5	13	1	12	15	4	6	8	0	2	33	15	16	7	7	41	20	5	14	12	16	9	18	11	10	26	15	5	8	26
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;?	1	5	9	2	5	2	0	1	5	2	0	0	16	5	2	6	1	6	4	3	1	2	3	0	2	7	6	8	4	1	5	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;CAG-56;?	0	0	1	4	0	3	0	3	0	1	0	0	0	1	1	2	1	5	0	0	0	4	3	0	10	0	0	4	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cuneatibacter;Cuneatibacter caecimuris	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;?	110	660	141	505	529	67	144	103	199	29	9	23	756	57	12	17	31	10	245	91	306	233	29	81	79	33	340	144	185	27	170	28
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;?	4	3	26	4	3	43	92	15	17	11	0	39	97	35	79	51	28	77	125	22	16	51	11	49	122	1	66	40	66	21	3	6
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hungatella;?	60	1617	515	494	352	57	46	77	814	257	34	134	122	308	1034	28	75	131	276	191	259	24	14	53	27	443	124	22	17	15	1158	62
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium 5;uncultured organism	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	1	13	0	0	0	1	0	8	1	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;?	7	0	4	1	0	4	2	2	48	2	5	3	28	48	4	2	7	3	2	6	2	4	5	1	10	2	5	10	2	0	8	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae ND3007 group;metagenome	1	0	35	0	0	289	4	8	28	28	2	17	185	40	19	23	16	169	164	61	6	27	27	54	11	0	56	29	135	103	43	31
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae ND3007 group;uncultured organism	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae NK4A136 group;uncultured organism	228	84	168	2657	119	495	402	179	318	152	1134	2020	747	208	732	1612	488	3663	1102	387	632	1338	919	333	314	32	252	329	803	876	677	220
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-004;uncultured organism	0	0	1	0	0	4	0	0	0	0	0	0	0	10	0	0	1	16	5	0	0	1	4	7	3	0	0	0	2	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae UCG-008;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
